"x"	"y"	"type"	"predictor"	"rank"	"othergene"	"varimp"
"1"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	1	"X_10948"	7.82705998686797
"2"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	2	"X_93210"	7.41565872148416
"3"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	3	"X_2886"	7.40830133977327
"4"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	4	"X_5709"	6.21794459524182
"5"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	5	"X_94103"	6.13954345709482
"6"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	6	"X_5469"	6.12976293137202
"7"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	7	"X_51755"	5.78978186808368
"8"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	8	"X_22794"	5.29042174400792
"9"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	9	"X_84961"	5.24955320627043
"10"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	10	"X_8557"	5.20691204772912
"11"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	11	"X_55876"	4.92709879316755
"12"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	12	"X_27202"	4.90755002920645
"13"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	13	"X_9862"	4.86356375505027
"14"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	14	"X_339287"	4.84799752804282
"15"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	15	"X_23158"	4.80083562739216
"16"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	16	"X_771"	4.60066949839666
"17"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	17	"X_9687"	4.39930106251258
"18"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	18	"X_54883"	4.19247412999156
"19"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	19	"X_3169"	4.14635401621045
"20"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	20	"X_84311"	4.14308686697896
"21"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	21	"X_2296"	4.12587299538842
"22"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	22	"X_85004"	4.12472401598662
"23"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	23	"X_147179"	4.10247047299569
"24"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	24	"X_155465"	4.10189141064744
"25"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	25	"X_79875"	4.01875934224784
"26"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	26	"X_2625"	3.97556433701137
"27"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	27	"X_79083"	3.96120345518884
"28"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	28	"X_9135"	3.92663096175356
"29"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	29	"X_196993"	3.92352451908344
"30"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	30	"X_80139"	3.84600920038383
"31"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	31	"X_7033"	3.81474082683133
"32"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	32	"X_57758"	3.80329375315787
"33"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	33	"X_7494"	3.73115295781695
"34"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	34	"X_161835"	3.72787922960724
"35"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	35	"X_8396"	3.6681554913109
"36"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	36	"X_64084"	3.62029615987255
"37"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	37	"X_4213"	3.60972419238204
"38"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	38	"X_6143"	3.60844400423768
"39"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	39	"X_36"	3.58152708909505
"40"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	40	"X_9120"	3.57909565560906
"41"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	41	"X_94121"	3.56906579011952
"42"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	42	"X_5409"	3.56664544039918
"43"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	43	"X_8416"	3.56060877885225
"44"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	44	"X_145837"	3.52332087320525
"45"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	45	"X_9654"	3.51891406118529
"46"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	46	"X_7802"	3.51676391263159
"47"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	47	"X_9095"	3.4880553719581
"48"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	48	"X_79818"	3.40955147374536
"49"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	49	"X_23428"	3.36111163734813
"50"	"path.and.other.genes.vals"	"subtype.grps"	"mix-wise"	"predictorRF"	50	"X_134147"	3.35725759773847
"51"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	1	"X_6944"	3.38592810310966
"52"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	2	"X_150356"	3.15706437046994
"53"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	3	"X_340273"	3.14331444208483
"54"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	4	"X_8543"	2.92844326308575
"55"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	5	"X_4976"	2.85697931439448
"56"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	6	"X_84057"	2.83243272455842
"57"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	7	"X_65992"	2.7169747450986
"58"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	8	"X_2532"	2.64952154220694
"59"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	9	"X_554"	2.60731568029361
"60"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	10	"X_7203"	2.58683841393957
"61"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	11	"X_1960"	2.52541113288618
"62"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	12	"X_5876"	2.4800173086352
"63"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	13	"X_9314"	2.45290796806194
"64"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	14	"X_3872"	2.44978191504954
"65"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	15	"X_1020"	2.43103668939763
"66"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	16	"X_22915"	2.38563519720402
"67"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	17	"X_125"	2.32712063769443
"68"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	18	"X_115939"	2.31335907476133
"69"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	19	"X_3068"	2.30154247932491
"70"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	20	"X_10188"	2.29860666777585
"71"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	21	"X_202333"	2.29309084596669
"72"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	22	"X_79174"	2.13510645094762
"73"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	23	"X_811"	2.12158553406508
"74"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	24	"X_130733"	2.11461912443873
"75"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	25	"X_441531"	2.11247591077296
"76"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	26	"X_7257"	2.05536764837261
"77"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	27	"X_22893"	2.02326160056122
"78"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	28	"X_1395"	1.98126521728624
"79"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	29	"X_467"	1.96667855315661
"80"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	30	"X_50940"	1.95108257239591
"81"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	31	"X_6403"	1.94904011916163
"82"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	32	"X_221303"	1.91852205043907
"83"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	33	"X_400830"	1.89602096303223
"84"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	34	"X_55341"	1.89044179410895
