"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"1"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	1	"X_hsa04151__99"	218.31729731287
"2"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	2	"X_hsa04664__46"	187.606539685658
"3"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	3	"X_hsa04114__59"	156.140499008112
"4"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	4	"X_hsa04066__83"	114.526348295209
"5"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	5	"X_hsa04520__18"	96.7977004008026
"6"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	6	"X_hsa04919__39"	76.6030263813648
"7"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	7	"X_hsa04520__4"	73.5204320021195
"8"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	8	"X_hsa04010__14"	48.0388799520248
"9"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	9	"X_hsa04310__34"	44.9284246892993
"10"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	10	"X_hsa04722__38"	30.5844770691213
"11"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	11	"X_hsa04914__42"	27.258476601148
"12"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	12	"X_hsa04066__11"	25.4780787075221
"13"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	13	"X_hsa04310__31"	25.1714978748674
"14"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	14	"X_hsa04151__98"	24.9589956581006
"15"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	15	"X_hsa05200__194"	23.9589056610943
"16"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	16	"X_hsa04010__61"	23.7554039851961
"17"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	17	"X_hsa04012__40"	23.7275040138514
"18"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	18	"X_hsa04014__43"	23.3904638056422
"19"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	19	"X_hsa04010__62"	21.7815213115775
"20"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	20	"X_hsa05200__200"	20.4098744773391
"21"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	21	"X_hsa03320__63"	18.2093307483632
"22"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	22	"X_hsa04012__43"	18.1415187397329
"23"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	23	"X_hsa04916__7"	16.9286823260712
"24"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	24	"X_hsa05200__53"	16.477010735876
"25"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	25	"X_hsa05205__69"	14.6868249600545
"26"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	26	"X_hsa04068__46"	14.5466149248246
"27"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	27	"X_hsa04110__60_10_11_12_13_14_9"	13.0279657375505
"28"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	28	"X_hsa04024__123"	12.9277740607997
"29"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	29	"X_hsa04010__64"	12.7044303556541
"30"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	30	"X_hsa04064__3"	11.8841652248938
"31"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	31	"X_hsa05231__59"	11.4466976871828
"32"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	32	"X_hsa04015__100_101_48"	11.0417837369506
"33"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	33	"X_hsa05231__17"	10.7576241738813
"34"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	34	"X_hsa04921__41"	10.446827571891
"35"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	35	"X_hsa04261__14_16"	9.99356469589215
"36"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	36	"X_hsa04152__38"	9.72891897155801
"37"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	37	"X_hsa04668__38"	9.21276081802023
"38"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	38	"X_hsa04115__24"	8.89834692493778
"39"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	39	"X_hsa04668__48"	8.55825690158439
"40"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	40	"X_hsa04310__20"	7.94781618892137
"41"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	41	"X_hsa04915__58"	7.24267223613916
"42"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	42	"X_hsa04910__46"	6.92626383514884
"43"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	43	"X_hsa04014__65"	6.92478071012469
"44"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	44	"X_hsa04150__14"	6.54210675050145
"45"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	45	"X_hsa04068__39"	6.26992502171625
"46"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	46	"X_hsa04115__30"	5.70973594363446
"47"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	47	"X_hsa04350__23"	5.35427958816163
"48"	"eff.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	48	"X_hsa04151__2"	4.72495019461212
