"y"	"x"	"type"	"predictor"	"rep"	"score"	"value"
"1"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"acc"	0.96969696969697
"2"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"fpr"	0
"3"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLDA"	1	"tpr"	0.8
"4"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"ppv"	1
"5"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"fval"	0.918918918918919
"6"	"basal.grps"	"eff.vals"	"path-wise"	"predictorGBM"	1	"auroc"	0.991772151898734
"7"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	1	"acc"	0.909090909090909
"8"	"basal.grps"	"fun.vals"	"func-wise"	"predictorRF"	1	"fpr"	0.0126582278481013
"9"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLDA"	1	"tpr"	1
"10"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	1	"ppv"	0.923076923076923
"11"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	1	"fval"	0.727272727272727
"12"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	1	"auroc"	0.949367088607595
"13"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorSparseSVM"	1	"acc"	0.939393939393939
"14"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorKNN"	1	"fpr"	0
"15"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	1	"tpr"	0.9
"16"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"ppv"	1
"17"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorSparseSVM"	1	"fval"	0.833333333333333
"18"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"auroc"	0.984177215189873
"19"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"acc"	0.929292929292929
"20"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"fpr"	0.0126582278481013
"21"	"basal.grps"	"go.vals"	"func-wise"	"predictorNB"	1	"tpr"	0.85
"22"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"ppv"	0.933333333333333
"23"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"fval"	0.8
"24"	"basal.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"auroc"	0.967721518987342
"25"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"acc"	0.939393939393939
"26"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"fpr"	0
"27"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorNB"	1	"tpr"	0.85
"28"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"ppv"	1
"29"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorRF"	1	"fval"	0.8
"30"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorRF"	1	"auroc"	0.968037974683544
"31"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorSparseSVM"	1	"acc"	0.939393939393939
"32"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorKNN"	1	"fpr"	0
"33"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	1	"tpr"	0.9
"34"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"ppv"	1
"35"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorSparseSVM"	1	"fval"	0.833333333333333
"36"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"auroc"	0.984177215189873
"37"	"basal.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	1	"acc"	0.939393939393939
"38"	"basal.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"fpr"	0
"39"	"basal.grps"	"path.vals"	"path-wise"	"predictorLDA"	1	"tpr"	0.85
"40"	"basal.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"ppv"	1
"41"	"basal.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	1	"fval"	0.833333333333333
"42"	"basal.grps"	"path.vals"	"path-wise"	"predictorGBM"	1	"auroc"	0.981645569620253
"43"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	1	"acc"	0.875
"44"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLogitLasso"	1	"fpr"	0
"45"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLDA"	1	"tpr"	0.80952380952381
"46"	"surv.grps"	"eff.vals"	"path-wise"	"predictorGBM"	1	"ppv"	0.666666666666667
"47"	"surv.grps"	"eff.vals"	"path-wise"	"predictorSparseSVM"	1	"fval"	0.264150943396226
"48"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"auroc"	0.746236559139784
"49"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"acc"	0.863636363636364
"50"	"surv.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	1	"fpr"	0
"51"	"surv.grps"	"fun.vals"	"func-wise"	"predictorLDA"	1	"tpr"	0.714285714285714
"52"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRF"	1	"ppv"	0.6
"53"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"fval"	0.25
"54"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"auroc"	0.711213517665131
"55"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"acc"	0.897727272727273
"56"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"fpr"	0
"57"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	1	"tpr"	0.523809523809524
"58"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"ppv"	0.714285714285714
"59"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	1	"fval"	0.352941176470588
"60"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	1	"auroc"	0.636559139784946
"61"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"acc"	0.897727272727273
"62"	"surv.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"fpr"	0
"63"	"surv.grps"	"go.vals"	"func-wise"	"predictorLDA"	1	"tpr"	0.80952380952381
"64"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	1	"ppv"	0.714285714285714
"65"	"surv.grps"	"go.vals"	"func-wise"	"predictorSparseSVM"	1	"fval"	0.32258064516129
"66"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	1	"auroc"	0.749923195084485
"67"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"acc"	0.897727272727273
"68"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"fpr"	0
"69"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	1	"tpr"	0.666666666666667
"70"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	1	"ppv"	0.75
"71"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"fval"	0.4
"72"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorLinearSVM"	1	"auroc"	0.676190476190476
"73"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"acc"	0.892045454545455
"74"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"fpr"	0
"75"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	1	"tpr"	0.571428571428571
"76"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	1	"ppv"	0.625
"77"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	1	"fval"	0.352941176470588
"78"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	1	"auroc"	0.643625192012289
"79"	"surv.grps"	"path.vals"	"path-wise"	"predictorGBM"	1	"acc"	0.886363636363636
"80"	"surv.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"fpr"	0
"81"	"surv.grps"	"path.vals"	"path-wise"	"predictorLDA"	1	"tpr"	0.80952380952381
"82"	"surv.grps"	"path.vals"	"path-wise"	"predictorGBM"	1	"ppv"	0.571428571428571
"83"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	1	"fval"	0.363636363636364
"84"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	1	"auroc"	0.755145929339477
"85"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"acc"	1
"86"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"fpr"	0
"87"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorRF"	1	"tpr"	1
"88"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"ppv"	1
"89"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"fval"	1
"90"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorSparseSVM"	1	"auroc"	1
"91"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorKNN"	1	"acc"	0.982954545454545
"92"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLDA"	1	"fpr"	0
"93"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"tpr"	0.987179487179487
"94"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLDA"	1	"ppv"	1
"95"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"fval"	0.993548387096774
"96"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorRF"	1	"auroc"	0.999358974358974
"97"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	1	"acc"	1
"98"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	1	"fpr"	0
"99"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	1	"tpr"	1
"100"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	1	"ppv"	1
"101"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	1	"fval"	1
"102"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"auroc"	1
"103"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"acc"	0.994318181818182
"104"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLDA"	1	"fpr"	0
"105"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"tpr"	0.993589743589744
"106"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLDA"	1	"ppv"	1
"107"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"fval"	0.996784565916399
"108"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	1	"auroc"	1
"109"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	1	"acc"	1
"110"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	1	"fpr"	0
"111"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	1	"tpr"	1
"112"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	1	"ppv"	1
"113"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	1	"fval"	1
"114"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	1	"auroc"	1
"115"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	1	"acc"	1
"116"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	1	"fpr"	0
"117"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	1	"tpr"	1
"118"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	1	"ppv"	1
"119"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	1	"fval"	1
"120"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	1	"auroc"	1
"121"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"acc"	1
"122"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLDA"	1	"fpr"	0
"123"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"tpr"	1
"124"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLDA"	1	"ppv"	1
"125"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	1	"fval"	1
"126"	"tumor.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	1	"auroc"	1
"127"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"acc"	0.979591836734694
"128"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"fpr"	0
"129"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLDA"	2	"tpr"	0.91304347826087
"130"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"ppv"	1
"131"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"fval"	0.954545454545454
"132"	"basal.grps"	"eff.vals"	"path-wise"	"predictorGBM"	2	"auroc"	0.995942028985507
"133"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	2	"acc"	0.959183673469388
"134"	"basal.grps"	"fun.vals"	"func-wise"	"predictorRF"	2	"fpr"	0
"135"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLDA"	2	"tpr"	1
"136"	"basal.grps"	"fun.vals"	"func-wise"	"predictorRF"	2	"ppv"	1
"137"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	2	"fval"	0.904761904761905
"138"	"basal.grps"	"fun.vals"	"func-wise"	"predictorRF"	2	"auroc"	0.984927536231884
"139"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"acc"	0.969387755102041
"140"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fpr"	0
"141"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.956521739130435
"142"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"ppv"	1
"143"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fval"	0.930232558139535
"144"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"auroc"	0.997101449275362
"145"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"acc"	0.959183673469388
"146"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"fpr"	0
"147"	"basal.grps"	"go.vals"	"func-wise"	"predictorNB"	2	"tpr"	1
"148"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"ppv"	1
"149"	"basal.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"fval"	0.904761904761905
"150"	"basal.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	2	"auroc"	0.988985507246377
"151"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLinearSVM"	2	"acc"	0.989795918367347
"152"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	2	"fpr"	0.0133333333333333
"153"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.956521739130435
"154"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLinearSVM"	2	"ppv"	1
"155"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorLinearSVM"	2	"fval"	0.977777777777778
"156"	"basal.grps"	"mini.genes.vals"	"gene-wise"	"predictorRF"	2	"auroc"	0.99768115942029
"157"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"acc"	0.969387755102041
"158"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fpr"	0
"159"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.956521739130435
"160"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"ppv"	1
"161"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fval"	0.930232558139535
"162"	"basal.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	2	"auroc"	0.991884057971015
"163"	"basal.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	2	"acc"	0.979591836734694
"164"	"basal.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"fpr"	0
